company,positionName,rating,location,state,salary,salary_num,job_type,is_senior,is_remote,is_CA_NY
TikTok,"Backend Software Engineer, AI Safety, TikTok - Seattle",3.3,"Seattle, WA",WA,"$137,750 - $237,500 a year",187625.0,Unknown,0,0,0
G2i Inc.,Software Engineer for Training AI Data,1.0,"Charlotte, NC",NC,$30 - $50 an hour,62400.0,Contract,0,0,0
Information Technology Senior Management Forum,"Manager, Data Science - LLM Customization Team",0.0,"New York, NY",NY,"$211,000 - $240,800 a year",225900.0,Full-time,1,0,1
Motive,Senior Applied Scientist,3.9,"San Francisco, CA",CA,"$124,000 - $184,000 a year",154000.0,Unknown,1,0,1
Luminate,Lead AI Scientist,1.0,"New York, NY",NY,"$165,000 - $255,000 a year",210000.0,Unknown,1,0,1
Apple,Machine Learning Engineer,4.1,"Cupertino, CA",CA,"$175,800 - $264,200 a year",220000.0,Unknown,0,0,1
RVO Health,"Senior AI Engineer, Quit for Life",3.0,"Minneapolis, MN",MN,"$118,650 - $158,200 a year",138425.0,Full-time,1,0,0
RVO Health,"Senior AI Engineer, Quit for Life",3.0,"Charlotte, NC",NC,"$118,650 - $158,200 a year",138425.0,Full-time,1,0,0
Information Technology Senior Management Forum,"Senior Manager, Data Science - LLM Customization Team",0.0,"New York, NY",NY,"$245,900 - $280,600 a year",263250.0,Full-time,1,0,1
Apple,"Applied Machine Learning Research Engineer, Siri",4.1,"Cupertino, CA",CA,"$175,800 - $312,200 a year",244000.0,Unknown,0,0,1
"Amazon Web Services, Inc.","Principal Partner GTM - Agentic AI, Data & AI - Partner GTM and Specialist Team",3.4,"Seattle, WA",WA,"$158,400 - $262,000 a year",210200.0,Full-time,0,0,0
Apple,Senior Software Engineer - AI Systems,4.1,"Sunnyvale, CA",CA,"$207,800 - $378,700 a year",293250.0,Unknown,1,0,1
"Amazon Web Services, Inc.","Sr. GenAI GTM - Partner, Data & AI - Partner GTM and Specialist Team",3.4,"Seattle, WA",WA,"$133,200 - $220,200 a year",176700.0,Full-time,0,0,0
Atlassian,"PRINCIPAL DATA SCIENTISTS, CUSTOMER ANALYTICS – ECOSYSTEM",3.9,"San Francisco, CA",CA,"$188,885 - $233,400 a year",211142.5,Unknown,0,0,1
Amazon,"Applied Science Manager, Translation Services",3.5,"Seattle, WA",WA,"$165,500 - $286,000 a year",225750.0,Unknown,1,0,0
Amazon,"Principal Partner GTM - Agentic AI, Data & AI - Partner GTM and Specialist Team",3.5,"Seattle, WA",WA,"$158,400 - $262,000 a year",210200.0,Unknown,0,0,0
Costello Medical,Statistician,3.3,"Boston, MA",MA,"$73,000 - $76,000 a year",74500.0,Full-time,0,0,0
Amazon,"Sr GenAI GTM Specialist - Partner - Startups, Data & AI Partner GTM Team",3.5,"Seattle, WA",WA,"$133,200 - $220,200 a year",176700.0,Unknown,0,0,0
Amazon,"Sr. GenAI GTM - Partner, Data & AI - Partner GTM and Specialist Team",3.5,"Seattle, WA",WA,"$133,200 - $220,200 a year",176700.0,Unknown,0,0,0
Amazon,"Senior Software Development Engineer - AI Innovation & Vibe Coding, Amazon Music",3.5,"San Francisco, CA",CA,"$151,300 - $261,500 a year",206400.0,Unknown,1,0,1
Amazon.com Services LLC,"Applied Science Manager, Customer Behavior Analytics",3.5,"Seattle, WA",WA,"$165,500 - $286,000 a year",225750.0,Full-time,1,0,0
Amazon,"Applied Science Manager, Customer Behavior Analytics",3.5,"Seattle, WA",WA,"$165,500 - $286,000 a year",225750.0,Unknown,1,0,0
Whatnot,Data & Marketplace Integrity,4.0,"New York, NY",NY,"$185,000 - $205,000 a year",195000.0,Unknown,0,0,1
OpenAI,"Engineering Manager, Mulitimodal (API)",4.5,"San Francisco, CA",CA,"$325,000 - $405,000 a year",365000.0,Full-time,1,0,1
Apple,"Software Engineer (Data), Ai & Data Platforms",4.1,"Sunnyvale, CA",CA,"$143,100 - $214,500 a year",178800.0,Unknown,0,0,1
Pylon,Software Engineer (AI Agents),3.3,"San Francisco, CA",CA,"$180,000 - $210,000 a year",195000.0,Full-time,0,0,1
Booz Allen,AI and ML Engineer,3.9,"Offutt AFB, NE",NE,"$99,000 - $225,000 a year",162000.0,Full-time,0,0,0
Costello Medical,Senior Statistician,3.3,"Boston, MA",MA,"$95,000 - $102,000 a year",98500.0,Full-time,1,0,0
PRICE WATERHOUSE COOPERS,Managed Services - Applied AI Operations - Senior Associate,3.9,"New York, NY",NY,"$77,000 - $202,000 a year",139500.0,Unknown,1,0,1
paypal,"Senior Director of Product, Consumer AI PayPal",3.8,"San Jose, CA",CA,"$209,000 - $359,150 a year",284075.0,Full-time,1,0,1
January,Senior AI Engineer,4.2,"Menlo Park, CA",CA,"$150,000 - $250,000 a year",200000.0,Full-time,1,0,1
Loon,"2025 PhD / Masters Residency - ML, AI for Mental Health",5.0,"Mountain View, CA",CA,"$109,000 - $150,000 a year",129500.0,Internship,0,0,1
Uber,Senior Machine Learning Engineer - Membership,3.4,"San Francisco, CA",CA,"$198,000 - $220,000 a year",209000.0,Full-time,1,0,1
Amazon.com Services LLC,"Senior Software Development Engineer - AI Innovation & Vibe Coding, Amazon Music",3.5,"San Francisco, CA",CA,"$151,300 - $261,500 a year",206400.0,Full-time,1,0,1
BOEING,Senior Systems and Data Analyst,3.9,"Everett, WA",WA,"$118,150 - $159,850 a year",139000.0,Unknown,1,0,0
"Amazon Web Services, Inc.","Sr GenAI GTM Specialist - Partner - Startups, Data & AI Partner GTM Team",3.4,"Seattle, WA",WA,"$133,200 - $220,200 a year",176700.0,Full-time,0,0,0
Revalize,AI Enablement Lead,1.2,"Arlington, VA",VA,"$125,000 - $135,000 a year",130000.0,Full-time,1,0,0
Amazon.com LLC,"Data Scientist, Devices Economic Value",3.5,"Seattle, WA",WA,"$125,500 - $212,800 a year",169150.0,Full-time,0,0,0
Google,"Senior Software Engineer, Machine Learning, Privacy Sandbox",4.3,"New York, NY",NY,"$166,000 - $244,000 a year",205000.0,Full-time,1,0,1
Amazon.com Services LLC,"System Engineer, AI Research, Prime Video - Content Understanding",3.5,"Seattle, WA",WA,"$116,300 - $201,200 a year",158750.0,Full-time,0,0,0
Amazon.com Services LLC,"System Development Engineer, AI Annotation, Prime Video - Content Understanding",3.5,"Seattle, WA",WA,"$116,300 - $201,200 a year",158750.0,Full-time,0,0,0
Apple,Machine Learning Engineer,4.1,"Cupertino, CA",CA,"$143,100 - $264,200 a year",203650.0,Unknown,0,0,1
Palo Alto Networks,Principal Threat Researcher (Data Platform),3.8,"Santa Clara, CA",CA,"$215,000 a year",215000.0,Full-time,0,0,1
DataAnnotation,Machine Learning Engineer - AI Trainer,3.8,"Lenexa, KS",KS,From $40 an hour,83200.0,Contract,0,0,0
MGR Workforce,RFP & Proposal Specialist (AI-Enabled),2.8,"Dallas, TX",TX,$28 an hour,58240.0,Unknown,0,0,0
DataAnnotation,Machine Learning Engineer - AI Trainer,3.8,"Woodbridge, VA",VA,From $40 an hour,83200.0,Contract,0,0,0
DataAnnotation,FinTech Product Analyst - AI Trainer,3.8,"Santa Clara, CA",CA,From $40 an hour,83200.0,Contract,0,0,1
DataAnnotation,FinTech Product Analyst - AI Trainer,3.8,"Cupertino, CA",CA,From $40 an hour,83200.0,Contract,0,0,1
Volkswagen Group of America - Chattanooga Operations,AI Engineer (Unable to consider OPT/CPT candidates),0.0,"Belmont, CA",CA,"$140,000 - $170,000 a year",155000.0,Unknown,0,0,1
